Precision	Recall	Confidence
0.808031208661398	0.029757055797029797	1.0
0.800870138055588	0.037459228803070205	0.99
0.7882692457748838	0.051507428269269094	0.98
0.78582641344348	0.07706239951308627	0.97
0.7642116798515697	0.10743016429002653	0.96
0.7566968685019653	0.1326613688178802	0.95
0.7476917569391994	0.16021240216095844	0.94
0.7368959722226001	0.18012721920747252	0.93
0.7114188182587612	0.19359330201788424	0.92
0.7056384576460786	0.20434396966683221	0.91
0.6991691315519255	0.21550587264629506	0.9
0.6972404913865897	0.2221308700805223	0.89
0.6977090627086611	0.2302533031881558	0.88
0.6952763506579065	0.23760240661655024	0.87
0.6952560673511079	0.24447676716494396	0.86
0.6929707366735128	0.2507246602258641	0.85
0.6872807389251097	0.25389117130031547	0.84
0.6862671698095338	0.25868554947770794	0.83
0.6863926733916795	0.26220578681108914	0.82
0.6833512905311245	0.2669248465041495	0.81
0.6850609824845197	0.27148606573663947	0.8
0.684139100111507	0.2750817272670589	0.79
0.6810640818206426	0.2768555826320745	0.78
0.6809335532996766	0.27994264903405797	0.77
0.6805986803037153	0.28155331634914516	0.76
0.6765092258673142	0.281720736406068	0.75
0.6757262592288774	0.2837572533015555	0.74
0.6750931015348454	0.28749040804868486	0.73
0.6753681044069456	0.29290935872497775	0.72
0.6749964032014419	0.2939608364062897	0.71
0.6746086150342773	0.29629571929726195	0.7
0.6719312143875626	0.2990074196055749	0.69
0.6716735662861447	0.3020586859165097	0.68
0.672112098383116	0.30473317637748054	0.67
0.6708481140829443	0.3077830525115296	0.66
0.6693752115821457	0.310339360657698	0.65
0.668696463441743	0.3127435392497219	0.64
0.6680369320761844	0.3191370505879847	0.63
0.6651155458278631	0.3216843045813112	0.62
0.664669274802164	0.3229751304455853	0.61
0.6621349880527532	0.3242935323901382	0.6
0.6621518370232611	0.3278360229123709	0.59
0.6593045040210479	0.3309666849656849	0.58
0.6569564364962196	0.3345424983481281	0.57
0.6562483982269434	0.3391721083816246	0.56
0.6537014479119836	0.3409392091135486	0.55
0.6508107689380949	0.3439696317296065	0.54
0.649451085477296	0.346872396051388	0.53
0.6461470734710787	0.3494916150544648	0.52
0.6455311488957858	0.3527283062331449	0.51
0.6453383305031956	0.3562222990420547	0.5
0.6439788060553489	0.360399551522593	0.49
0.6434926240918065	0.36317230254360244	0.48
0.6436107849998953	0.3661157693609724	0.47
0.6417211012507402	0.3713338130320547	0.46
0.6400430216101085	0.373145399079062	0.45
0.6386906821124458	0.3807132639949932	0.44
0.6385852618580241	0.3848086659436956	0.43
0.6374176277184428	0.386881987547404	0.42
0.6356391346164445	0.38728055646987386	0.41
0.6352299305037159	0.3891723302620097	0.4
0.6339919201009621	0.3916890071599022	0.39
0.6328233210281572	0.3955604257063289	0.38
0.6325108891315261	0.3976472114395234	0.37
0.6301776390868202	0.3999458415956018	0.36
0.6301359697570734	0.40325801933526406	0.35
0.6295928294507787	0.4069572033106911	0.34
0.62976806678788	0.40983993219845744	0.33
0.6283349536967283	0.4120647570518309	0.32
0.6263730565403812	0.4133847697908607	0.31
0.6252812311467357	0.41443365097623847	0.3
0.6238883652590707	0.4162709975189257	0.29
0.6231949784454459	0.41922940095835237	0.28
0.6227128203797758	0.4240955584450277	0.27
0.6218667435575693	0.4259129389364413	0.26
0.6208096540906464	0.4291681832828457	0.25
0.620310121399417	0.4305721341800173	0.24
0.618715239288003	0.43210217088500796	0.23
0.6178444934762273	0.4333602574883984	0.22
0.6143975738190167	0.4338357304500591	0.21
0.6144127825146017	0.4363171747270836	0.2
0.6134346377674198	0.4382791415509288	0.19
0.6119951667736573	0.4420718665400723	0.18
0.6107228655779748	0.4430756677458167	0.17
0.6086613471695277	0.44501627880244987	0.16
0.6083982325931433	0.4459054653269956	0.15
0.6081956954861035	0.44594639022979893	0.14
0.6081017576570251	0.4486865121728783	0.13
0.6064757968804605	0.44909942849739676	0.12
0.6049975750000238	0.45144381434221603	0.11
0.6036622978053585	0.4520015140493778	0.1
0.6027134014247764	0.4531412554588197	0.09
0.6009914604502351	0.45419450229713165	0.08
0.6009919618681236	0.45553362358100413	0.07
0.6006093613056563	0.455987775093587	0.06
0.6000588561249789	0.4562179776718559	0.05
0.6006285329513562	0.45701521603815504	0.04
0.6003605641850682	0.45798673540096463	0.03
0.5999649488326881	0.45823945996308146	0.02
0.5997527799504518	0.4594081051096272	0.01
0.5997498527581693	0.46041895020887014	0.0
